пр. Гагарина 228;Обычный;38.7565;56.333015;43.94235
ул.Есенина, д.10;Обычный;30.775;56.334218;43.936403
г.№6 Есенина 30;Обычный;39.3601;56.313613;43.891469
Московское шоссе, 122;Евро;9.16071;56.294591;44.077241
Казанское шоссе, 4а;Обычный;13.9821;56.312764;44.611891
Дзержинск, Красноармейская, 30;Обычный;11.4595;56.238377;43.461625
Дзержинск, ул. Циолковского, 49;Обычный;5.2381;56.348233;43.856336
ул. Культуры 12;Обычный;0;56.351011;43.868221
ул. Коминтерна 121;Обычный;11.4696;56.228005;43.863684
Южное шоссе, 35;Обычный;6.85;56.766632;43.250683
пл.Комсомольская, д.2;Евро;21.6958;56.312764;44.611891
Мега, Федяково пос, Мега;Евро;34.5357;56.232774;43.954594
ул. 40 лет Победы, 1Б ;Обычный;15.6756;56.312764;44.611891
Щербинки 1, д.17;Обычный;24.7381;56.229451;43.450468
ул.Терешковой, д.6;Обычный;3;56.266707;43.914484
пр.Ленина, д.72а;Обычный;2.5;56.30842;43.976333
ул. Барминская, 8а;Обычный;0;56.312764;44.611891
ул.3-я Ямская, д.7;Обычный;5.90536;56.312764;44.611891
Верхневолжскнефтепровод*;Обычный;0;56.124927;44.122183
ул.Батумская, д.1а;Обычный;21.8631;56.327456;43.935891
ул.Семашко, д.20;Обычный;0;56.293777;43.980115
пр.Гагарина, д.27;Обычный;1.25;56.332611;43.849329
ул. Баранова, 5а;Обычный;35.1046;56.283934;44.035397
ул.Ванеева, д.231;Обычный;15.9252;55.363427;43.849491
д.Суроватиха, ул.Огарева, д.5а;Обычный;4.3125;55.767185;43.899545
д.Суроватиха, ул.Совхозная д.1а;Обычный;8.08333;56.257108;43.98034
ул.Горная, д.11;Обычный;0;56.438871;43.630158
ул.Б.Покровская, д.73;Обычный;2.24524;56.316179;43.997713
ул.Звединка, д.7;Обычный;6.625;56.312764;44.611891
ул. Бонч Бруевича, д 8а;Обычный;7.33333;56.303731;44.069551
ул.Хохлова, д.1;Обычный;2;56.329727;43.9935
ул.Рождественская, д.21;Обычный;23.2173;56.287762;44.077519
Казанское шоссе, д.12/1;Обычный;24.5048;56.292263;44.009678
ул.Бекетова, д.33;Обычный;7.39851;56.640441;43.387164
ул.Карла Маркса, д.32;Обычный;0;56.363533;43.815651
пр.Кораблестроителей, д.15 А;Обычный;41;55.999284;45.251896
ул.Дубравная,  д.1а;Обычный;9.08185;56.162967;43.916442
Дружный пос, 12а;Обычный;0;57.052026;44.918603
Московское шоссе, д.189;Обычный;1.79167;55.406743;43.839556
ул.Малая Ямская, д.65/4;Обычный;42.5628;56.323228;44.005304
ул.Алексеевская, д.8а/1;Обычный;15.0448;56.311336;44.03475
ул.Б.Панина, д.21;Обычный;2.5;56.271056;43.977213
пр.Гагарина, д.110;Обычный;51.8889;56.795268;44.500374
ул.Чкалова, д.1;Обычный;33.4485;56.228976;43.878102
ул.Веденяпина, д.24;Обычный;5;56.320388;44.002321
ул.Грузинская, д.23;Обычный;0;56.325379;44.004118
ул. Большая Покровская, 2;Обычный;0;56.266257;43.879549
ул.Героя Васильева, д.1а;Обычный;0.541667;56.269046;43.888226
ул.Героя Васильева, д.46а;Обычный;0;56.261403;43.890418
ул.Мельникова, д.16а;Обычный;0.9875;56.103342;43.516279
г.Богородск, ул.Ленина, д.214;Обычный;32.1192;56.310822;43.839457
Московское шоссе, д.296а;Евро;8.72321;56.236796;43.96284
пл.Жукова, д.7;Обычный;0;55.824764;43.987831
ул.Краснозвездная, д. 4а;Обычный;6.33333;56.316549;43.994533
пр.Гагарина, д.186;Обычный;18.5268;56.329088;43.990203
ул.Рождественская, д.33;Обычный;0;55.431039;42.499763
ул.Адм.Макарова, д.3;Обычный;12;56.306103;43.995431
ул.Тимирязева, д.3,;Обычный;46.8367;54.929958;43.349605
пр.Ленина, д.45б;Обычный;8;56.337741;43.929926
ул.Есенина, д.41;Обычный;2.25;56.327271;43.958232
ул.Совнаркомовская, д.32;Обычный;1.4375;56.619958;44.103004
с.Линда, ул.Северная, столовая Птицефабрики;Обычный;1;56.344072;43.927141
ул.К.Маркса, д.7а;Обычный;40.9304;56.320373;44.043437
ул.Радужная, д.2;Обычный;19.7667;56.095087;43.538
г.Богородск, ул.Котельникова, д.68а;Обычный;32.2273;56.239758;43.962562
"пр.Гагарина, д.184, м-н ""Мяснов-Отдохни""";Обычный;11;56.274075;44.086826
д. Афонино, ул.Зеленая, д.66;Обычный;5;56.287622;44.074546
Казанское шоссе, 21;Обычный;6;56.768961;43.239068
пл.Минина, д.5;Обычный;1.25;56.314991;43.990769
ул.Маслякова, 1;Обычный;0.625;56.326178;44.019892
ул.Большая Печерская, д.16б;Обычный;0;56.296674;44.070378
ул.Верхне-Печерская, д.4а;Обычный;2.3125;56.324641;44.011475
ул.Пискунова, д.35а;Обычный;7.375;56.321591;44.031193
ул.Б.Печерская, д.63в;Обычный;1.33333;56.318765;44.001144
ул.Холодный пер., д.15а;Обычный;0;56.37991;44.03855
ул.Славянская, д.35;Обычный;1.125;56.293007;44.065275
ул.Верхне-Печерская, д.5а;Обычный;0;56.31897;44.046123
ул.Донецкая, д.3;Обычный;2.5;56.776754;44.467586
ул.Фруктовая, д.8;Обычный;0;56.321246;44.011188
ул.Варварская, д.15а;Обычный;0;56.297333;44.065114
ул.Верхне-Печерская, д.3а;Обычный;1.16667;56.303022;44.07548
